"t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)","dates"
34,45,1.16179152087798,3662.69232510624,1.12158707719529,1.12796781418557,1.14776916448306,1.16166868462857,1.17567997114456,1.19603423338239,1.20269403005031,2020-04-09
35,46,1.17028276585238,3876.91697326473,1.13076723767867,1.13704064608753,1.15650520517229,1.17016501444836,1.18393196344418,1.2039265465192,1.21046746300384,2020-04-10
36,47,1.16776394583159,4038.3082562008,1.12916403744067,1.13529374355113,1.15430936251705,1.16765138638209,1.18109582587137,1.20061809875288,1.20700351796548,2020-04-11
37,48,1.16258230025265,4182.0592992601,1.12489764539958,1.13088346541301,1.14945002181118,1.16247457219811,1.17559714218725,1.19464860537896,1.20087916261593,2020-04-12
38,49,1.16295807187381,4363.5197830721,1.12604113239718,1.13190650382881,1.15009669007735,1.1628547569521,1.17570682797727,1.19436205658317,1.20046213956356,2020-04-13
39,50,1.16857702677555,4594.81616700732,1.13233350374912,1.1380934771912,1.15595384266012,1.16847796211694,1.18109221846494,1.19939849496598,1.20538352428808,2020-04-14
40,51,1.17435726310966,4849.39914347449,1.13880911930756,1.14446017729122,1.16197986487923,1.17426246819124,1.18663132341618,1.2045777030397,1.21044411697685,2020-04-15
41,52,1.17866484247415,5114.87133469531,1.14385438115697,1.1493897160542,1.16654777317275,1.17857430700432,1.19068321713835,1.2082487936193,1.21398980791124,2020-04-16
42,53,1.17771611333609,5353.50824365794,1.14372563064698,1.14913195511114,1.16588756639099,1.17762975269821,1.18945051669368,1.20659485553863,1.21219737505292,2020-04-17
43,54,1.15844984243269,5426.81991452,1.12551118722371,1.13075106329605,1.14698923706213,1.15836741300005,1.16982058969324,1.18642979583939,1.19185693605456,2020-04-18
44,55,1.1283196369052,5356.87550748597,1.09645009213854,1.10152025555368,1.11723182819405,1.12824041850576,1.13932108791739,1.15538923939736,1.16063937211292,2020-04-19
45,56,1.10244010766565,5267.19994512715,1.07139910418793,1.07633761940443,1.09164093079737,1.10236319399058,1.11315543926247,1.12880495544198,1.13391820406786,2020-04-20
46,57,1.07758868700097,5141.94919092112,1.04722833202808,1.05205852607288,1.06702623518585,1.07751341185313,1.08806907973935,1.10337561827962,1.10837682330618,2020-04-21
47,58,1.05283792637461,4979.51300199016,1.02304409292317,1.02778393308239,1.04247206757873,1.05276372542301,1.06312289710201,1.07814502583913,1.08305343659584,2020-04-22
48,59,1.03200817261787,4819.8704079185,1.002620510763,1.00729541962369,1.02178292189497,1.03193451729358,1.04215313007755,1.05697217060363,1.06181441048156,2020-04-23
49,60,1.00851663744699,4611.69392008358,0.979495170933458,0.984111301711777,0.998417621667249,1.00844312197064,1.01853551242342,1.03317274114578,1.03795588520311,2020-04-24
50,61,0.978010874403543,4317.28842945854,0.949370473405613,0.953925115728235,0.968042491666563,0.977937024621464,0.987898751918253,1.00234854139984,1.00707095642905,2020-04-25
51,62,0.948993105791784,4010.23853285357,0.920593783867373,0.925108989788119,0.939106161256546,0.948918249456166,0.958798447858748,0.973132563575473,0.977817828833888,2020-04-26
52,63,0.928773134816545,3758.56624893226,0.900375622576717,0.904889428397477,0.918884317503877,0.928696633402091,0.938578556346451,0.952917794543585,0.957605396936116,2020-04-27
53,64,0.914650221359778,3550.20303699819,0.886099805556244,0.890636814284686,0.904705680809244,0.914571674466803,0.924509136330152,0.93893155907143,0.943647011233324,2020-04-28
54,65,0.903634284884921,3366.63535935658,0.87484858522197,0.879421869740541,0.893605285330372,0.903553438397305,0.913575152046411,0.928122474808948,0.932879426919689,2020-04-29
55,66,0.904216328041526,3269.51968467496,0.87498155169095,0.879625341935909,0.894028977386903,0.904132972906228,0.914312811592943,0.929091646165999,0.933924803104896,2020-04-30
56,67,0.913417738077518,3243.20545371015,0.883617632840542,0.88835069473701,0.903032201078032,0.913331987724473,0.923709796910151,0.938777283752227,0.943705153773594,2020-05-01
57,68,0.914100733960363,3172.54757407997,0.883939648622445,0.888729368625598,0.903587873173679,0.914012942696518,0.92451789175736,0.939771563373693,0.944760728003145,2020-05-02
58,69,0.909667786469302,3071.17052312944,0.879239187357367,0.884070553158308,0.899059798859182,0.909577974788983,0.9201778686125,0.935571375698179,0.940606776052648,2020-05-03
59,70,0.909779269501761,2998.33590286364,0.878980799972087,0.883870143274887,0.899040651144464,0.90968725363456,0.92041757958209,0.936002270342876,0.941100655620649,2020-05-04
60,71,0.913084272621053,2948.93573752535,0.881862243466447,0.886818183447898,0.902196519211282,0.912990034375601,0.923869295111376,0.939671817156096,0.944841847866996,2020-05-05
61,72,0.918337529603901,2917.21369068715,0.886677179616203,0.891702155654091,0.907295710327499,0.918241167324287,0.929274302523277,0.945301604201179,0.950545496311118,2020-05-06
62,73,0.928998780312073,2925.52216568698,0.896832497444743,0.901937482763601,0.917779859991036,0.928900447724748,0.940110506413067,0.956395499414615,0.961723876931376,2020-05-07
63,74,0.939576177594812,2943.65819348881,0.90696065134301,0.912136759967249,0.928200178171466,0.939476212785096,0.950843203485714,0.967356584440951,0.97275979333502,2020-05-08
64,75,0.94153343654724,2917.54751049102,0.908671453983111,0.913886298331901,0.930070626562491,0.941432156476223,0.952885839217483,0.969526050465518,0.9749709830656,2020-05-09
65,76,0.94121497789566,2877.49528839265,0.908143839550407,0.913391406200122,0.929678156256275,0.941112357575753,0.952639931201532,0.969388597015189,0.974869296655819,2020-05-10
66,77,0.94374323675227,2852.93944306568,0.910397834206197,0.915688523109099,0.932109845481278,0.943639176378359,0.955263189869809,0.972152909983953,0.977680003360042,2020-05-11
67,78,0.944522067782054,2819.72272735996,0.910941189543091,0.916268792094055,0.932805516982894,0.944416607740774,0.956123654635596,0.973135077461595,0.978702264212223,2020-05-12
