"t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)","dates"
55,66,0.833245665378015,3000.68483000429,0.806251155757532,0.810538985112754,0.823838734162538,0.833168539993636,0.842568520668824,0.856215427411369,0.86067847066743,2020-04-30
56,67,0.844683942536317,2986.98678392829,0.817070643051483,0.821456271245037,0.835060274789081,0.844604321717008,0.854220814045795,0.868183207760569,0.872749718962295,2020-05-01
57,68,0.853585446865625,2950.07107722298,0.825362224508091,0.829844085276471,0.843747777279013,0.853503121660371,0.863333372123493,0.877607627306336,0.882276514873181,2020-05-02
58,69,0.857724079071527,2883.60859035704,0.828972929841504,0.833537833201166,0.84770060831193,0.85763903775337,0.867654844631912,0.882200408716726,0.886958509291531,2020-05-03
59,70,0.863585533784244,2834.97455804016,0.834294047553905,0.838944036527306,0.853372098722206,0.863497847340624,0.873703380160403,0.888526137593917,0.893375332933027,2020-05-04
60,71,0.87173392583157,2805.70567156677,0.841874882434832,0.846614367181404,0.86132123551102,0.87164364479556,0.882048199065091,0.897161441438316,0.902106026905384,2020-05-05
61,72,0.882032278171077,2793.41327415672,0.851577900642521,0.85641137519962,0.871410837355305,0.881939444744176,0.892552519501684,0.907969844548613,0.91301421831325,2020-05-06
62,73,0.898051225958766,2820.46159847472,0.866914975422795,0.871856401223579,0.887191363092961,0.897955912862292,0.908807186210923,0.924571172486787,0.929729130791914,2020-05-07
63,74,0.915783872096555,2862.41586459554,0.883957381552767,0.889008192077625,0.904682906622233,0.915686210513006,0.92677837483078,0.942892684817714,0.948165363131704,2020-05-08
64,75,0.925671644246013,2862.35182665112,0.893329485698298,0.898461768083452,0.91438999670987,0.92557186014984,0.936844515259777,0.953221893203962,0.958580865275919,2020-05-09
65,76,0.930025189081186,2837.13841796024,0.897312153835241,0.902502823761856,0.918613123118866,0.929923569077631,0.941326477175445,0.957894189653983,0.963315720044932,2020-05-10
66,77,0.933973254709122,2816.77487009522,0.900934589372903,0.906176527975257,0.922446691037615,0.93387002921912,0.945387290351758,0.962122093166462,0.967598539544612,2020-05-11
67,78,0.935462464216811,2786.00723387472,0.902164257040011,0.907446928870664,0.923844347554111,0.935357765684205,0.946966447070772,0.963835135979198,0.969355662006024,2020-05-12
