"t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)","dates"
36,47,1.23030023923749,4039.43964542116,1.18857351063717,1.19519758617334,1.21575086461409,1.23017533648783,1.24471345496079,1.26582894710927,1.27273677714437,2020-04-11
37,48,1.23065503406658,4269.24032921214,1.19003986023829,1.1964897194198,1.21649828480376,1.23053678617997,1.24468287897444,1.26522370313474,1.27194219844699,2020-04-12
38,49,1.2386604051897,4569.06435983009,1.19900676077424,1.20530629560734,1.22484413976004,1.23854847454571,1.25235465276582,1.2723963204636,1.27895014005662,2020-04-13
39,50,1.24635760806087,4892.75615612834,1.20767079604098,1.21381900935992,1.23288332540867,1.24625177924059,1.25971652453612,1.27925719854241,1.28564583461379,2020-04-14
40,51,1.24726011227964,5192.14546382815,1.2096559448888,1.21563412129505,1.23416745029498,1.24716024119222,1.26024390269735,1.27922677264774,1.28543183711154,2020-04-15
41,52,1.23968685078521,5439.60250374442,1.20327490610996,1.20906525388324,1.22701312533652,1.23959267707,1.25225791546203,1.27062968279419,1.27663397538619,2020-04-16
42,53,1.22054268333223,5586.0814417921,1.18543499934254,1.19101922511394,1.20832581815824,1.22045378946468,1.23266264338719,1.25036936660219,1.2561555424547,2020-04-17
43,54,1.18356472842917,5545.76735109369,1.14991587444491,1.15526873550778,1.17185703304291,1.18348053161984,1.19518063904969,1.2121479243027,1.21769206465568,2020-04-18
44,55,1.13740902867165,5369.68446773084,1.10519275244746,1.1103179242828,1.12620024251518,1.13732872084562,1.14853026952401,1.16477407033567,1.17008168643515,2020-04-19
45,56,1.09821387507022,5195.83821881982,1.0671410579732,1.07208437770546,1.08740305230259,1.0981365016958,1.10894035144222,1.12460730002904,1.12972639750688,2020-04-20
46,57,1.0637430789333,5009.43820657354,1.03357612368163,1.03837521284561,1.05324715589807,1.06366778538731,1.07415692284095,1.08936777813302,1.09433792005717,2020-04-21
47,58,1.02968674754882,4782.06142632327,1.0002832248005,1.0049605158071,1.01945566103192,1.0296128434885,1.03983726965227,1.05466507274488,1.05951025984214,2020-04-22
48,59,0.99828651137696,4541.55761026095,0.969486191504576,0.974067019598976,0.988264164836405,0.998213367383789,1.00822912207813,1.0227555039571,1.0275025013835,2020-04-23
49,60,0.963168618759463,4237.43093381434,0.934915534635407,0.939408498843355,0.953334854677364,0.963095643623827,0.972922831091471,0.987177663499015,0.991836413377609,2020-04-24
50,61,0.917951283938509,3825.60257079782,0.890291088931195,0.894688436244141,0.908320883226053,0.917877864343257,0.927501648409877,0.941464572564926,0.946028715193324,2020-04-25
51,62,0.876302558555402,3429.05079134785,0.849058961740763,0.85338850704688,0.866813666374164,0.876227912577966,0.885710077620575,0.899471234318014,0.903970360941671,2020-04-26
52,63,0.851060600820895,3145.43854268809,0.823841617519435,0.82816578368844,0.841576979056504,0.850983844959778,0.860460549471266,0.874217239233994,0.878715779867629,2020-04-27
53,64,0.839654954720915,2952.48302163812,0.812129084869272,0.816500674758268,0.830061414439131,0.839575359731987,0.849161726926433,0.863080740508988,0.867633154713142,2020-04-28
54,65,0.834482860311948,2799.70677711691,0.806482215181889,0.810927900912956,0.824720906334865,0.834399952898361,0.844154435302109,0.858320624541497,0.86295465967001,2020-04-29
55,66,0.837176060399436,2699.85551692678,0.808529023827933,0.813076187014795,0.827186162961832,0.83708953096953,0.847071630446324,0.861571093664608,0.866314834667088,2020-04-30
56,67,0.845056292897981,2635.3735954385,0.815654847594324,0.820320738097033,0.834801018212405,0.8449659696426,0.855213104495531,0.870099948685611,0.874971035742353,2020-05-01
57,68,0.845048251635636,2528.66914738325,0.815038810590217,0.819799879898688,0.83457796321413,0.844954118798385,0.85541592410468,0.870617719218275,0.875592639582529,2020-05-02
58,69,0.84233612711414,2413.08251846778,0.811770179155123,0.816618104722089,0.831668443075243,0.842238117553528,0.85289696915005,0.868388469240948,0.873459052876328,2020-05-03
59,70,0.846685304187582,2340.36874797641,0.815412642009051,0.820371427592208,0.835768206521336,0.846583203377729,0.85749109993908,0.87334745617268,0.878538194205972,2020-05-04
60,71,0.853637898952924,2284.37084836762,0.821598457063208,0.826677667322932,0.842450509729611,0.853531570402359,0.864709377558492,0.880960827213133,0.886281594383887,2020-05-05
61,72,0.86123067204584,2236.42830795701,0.828421370321958,0.833621505836128,0.849771943263518,0.861120123552178,0.872568890008888,0.889216929528661,0.894668208696154,2020-05-06
62,73,0.873462410914715,2216.96154303345,0.83980858947066,0.845141692676803,0.861706738314174,0.873347701547386,0.885093036882117,0.902174413573864,0.907768112999104,2020-05-07
63,74,0.874138189741532,2145.70411019041,0.839896048194803,0.845321044922823,0.862173998429937,0.874019487583523,0.885972981851861,0.9033602387935,0.909054902401887,2020-05-08
64,75,0.846708108533042,1948.44921001241,0.81246364670159,0.817886364935159,0.834737146585297,0.846585464645639,0.858545374420342,0.875948202033129,0.881649541646876,2020-05-09
65,76,0.802550460470255,1687.04245074226,0.768605630212379,0.773977076616498,0.790675626838203,0.80242320244324,0.814286568229383,0.831557933585661,0.83721848326548,2020-05-10
66,77,0.756458511983947,1429.7079976531,0.722735424831156,0.728067089228455,0.74465067500594,0.756325102099761,0.768120917041096,0.78530500869844,0.790939751449682,2020-05-11
67,78,0.71071267797194,1188.79572001716,0.677057598559334,0.682372811345553,0.698915807171741,0.710571051561492,0.722355160155348,0.739535646091805,0.74517260252755,2020-05-12
